Client_ID,FirstName,LastName,SSN,DOB,CCH_Member_ID,CCH_Eligible,CCH_Notes,ECM,ECM_Provider,CS_HTNS_Yes_No,CS_HTNS_Provider,CS_HD_Yes_No,CS_HD_Provider,CS_HTSS_Yes_No,CS_HTSS_Provider
159859483,James,Heard,559-81-1301,7/16/1975,,,,,,,,,,,
165562801,Albert,Iorio,322-84-2281,8/17/1975,,,,,,,,,,,
175019049,Charles,Jackson,646-44-9061,9/18/1975,,,,,,,,,,,
124197708,Teresa,Kaminski,465-73-5022,10/19/1975,,,,,,,,,,,
113213643,Tim,Lowe,044-34-6954,1/20/1991,,,,,,,,,,,
147294419,Monte,Mceachern,477-36-0282,2/21/1991,,,,,,,,,,,
199715997,Adriane,Morrison,421-90-3440,3/22/1991,,,,,,,,,,,
122164914,Jerome,Munsch,524-02-7657,4/23/1991,,,,,,,,,,,
176299300,Agnes,Nelson,205-52-0027,5/24/1991,,,,,,,,,,,
196435642,Lynette,Oyola,587-03-2682,6/25/1991,,,,,,,,,,,
151831252,Stacey,Peacock,687-05-8365,2/18/1968,,,,,,,,,,,
101966464,Julie,Renfro,751-01-2327,3/19/1968,,,,,,,,,,,
174645825,Danny,Reyes,624-84-9181,4/20/1968,,,,,,,,,,,
100775091,Jacki,Russell,514-30-2668,5/21/1968,,,,,,,,,,,
119128730,Thomas,Santos,451-80-3526,6/22/1968,,,,,,,,,,,
115080260,Mireille,Townsend,404-12-2154,7/23/1968,,,,,,,,,,,
121704248,Lillian,Venson,505-88-5714,2/1/1968,,,,,,,,,,,
195171191,Gail,Watson,461-97-5660,2/2/1968,,,,,,,,,,,
113274271,Johnson,White,172-32-1176,2/3/1968,,,,,,,,,,,
143949826,Rebecca,Zwick,151-32-2558,2/4/1968,,,,,,,,,,,
